"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0307Rf_20110827_1552","20110827_1552","RuBsAdDlb3Mxtshcn20210211",375.51,386.45,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110827_1552_cnt.png"
"RC0307Rf_20110828_0751","20110828_0751","RuBsAdDlb3Mxtshcn20210211",384.63,408.33,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110828_0751_cnt.png"
"RC0307Rf_20110828_0951","20110828_0951","RuBsAdDlb3Mxtshcn20210211",362.76,401.05,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110828_0951_cnt.png"
"RC0307Rf_20110828_1151","20110828_1151","RuBsAdDlb3Mxtshcn20210211",391.93,428.39,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110828_1151_cnt.png"
"RC0307Rf_20110828_1351","20110828_1351","RuBsAdDlb3Mxtshcn20210211",401.04,428.38,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110828_1351_cnt.png"
"RC0307Rf_20110828_1551","20110828_1551","RuBsAdDlb3Mxtshcn20210211",399.2,415.61,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110828_1551_cnt.png"
"RC0307Rf_20110829_0751","20110829_0751","RuBsAdDlb3Mxtshcn20210211",452.07,470.3,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110829_0751_cnt.png"
"RC0307Rf_20110829_0951","20110829_0951","RuBsAdDlb3Mxtshcn20210211",1363.51,1452.84,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110829_0951_cnt.png"
"RC0307Rf_20110829_1151","20110829_1151","RuBsAdDlb3Mxtshcn20210211",2045.26,2125.47,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110829_1151_cnt.png"
"RC0307Rf_20110829_1351","20110829_1351","RuBsAdDlb3Mxtshcn20210211",1923.13,1997.87,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110829_1351_cnt.png"
"RC0307Rf_20110830_0751","20110830_0751","RuBsAdDlb3Mxtshcn20210211",2304.12,2373.4,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110830_0751_cnt.png"
"RC0307Rf_20110830_0951","20110830_0951","RuBsAdDlb3Mxtshcn20210211",2564.77,2663.21,"M:\Remote Cameras\Segmented_images\RC0307Rf\PROCESSED\CHECKED\RC0307Rf_20110830_0951_cnt.png"
