"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC0220Ra_20130223_1152","20130223_1152","RuBsAdDlb3Mxtshcn20210211",1886.37,2301.48,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130223_1152_cnt.png"
"RC0220Ra_20130223_1552","20130223_1552","RuBsAdDlb3Mxtshcn20210211",1404.38,2311.26,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130223_1552_cnt.png"
"RC0220Ra_20130224_0752","20130224_0752","RuBsAdDlb3Mxtshcn20210211",1686.55,2590.17,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130224_0752_cnt.png"
"RC0220Ra_20130224_1352","20130224_1352","RuBsAdDlb3Mxtshcn20210211",1654.76,2507.01,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130224_1352_cnt.png"
"RC0220Ra_20130225_0752","20130225_0752","RuBsAdDlb3Mxtshcn20210211",1624.57,2414.02,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130225_0752_cnt.png"
"RC0220Ra_20130225_1352","20130225_1352","RuBsAdDlb3Mxtshcn20210211",1304.06,1988.31,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130225_1352_cnt.png"
"RC0220Ra_20130226_1352","20130226_1352","RuBsAdDlb3Mxtshcn20210211",1379.1,2064.97,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130226_1352_cnt.png"
"RC0220Ra_20130227_0752","20130227_0752","RuBsAdDlb3Mxtshcn20210211",1671.87,2471.93,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130227_0752_cnt.png"
"RC0220Ra_20130227_1352","20130227_1352","RuBsAdDlb3Mxtshcn20210211",1312.22,2002.17,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130227_1352_cnt.png"
"RC0220Ra_20130228_0952","20130228_0952","RuBsAdDlb3Mxtshcn20210211",1592.77,1682.48,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130228_0952_cnt.png"
"RC0220Ra_20130228_1152","20130228_1152","RuBsAdDlb3Mxtshcn20210211",1833.36,2196.28,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130228_1152_cnt.png"
"RC0220Ra_20130228_1552","20130228_1552","RuBsAdDlb3Mxtshcn20210211",1245.35,1983.44,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130228_1552_cnt.png"
"RC0220Ra_20130301_1152","20130301_1152","RuBsAdDlb3Mxtshcn20210211",1976.89,2388.75,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130301_1152_cnt.png"
"RC0220Ra_20130301_1552","20130301_1552","RuBsAdDlb3Mxtshcn20210211",1288.58,1977.73,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130301_1552_cnt.png"
"RC0220Ra_20130302_1152","20130302_1152","RuBsAdDlb3Mxtshcn20210211",2104.12,2620.36,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130302_1152_cnt.png"
"RC0220Ra_20130302_1552","20130302_1552","RuBsAdDlb3Mxtshcn20210211",1622.13,2499.66,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130302_1552_cnt.png"
"RC0220Ra_20130303_0952","20130303_0952","RuBsAdDlb3Mxtshcn20210211",2040.51,3001.22,"M:\Remote Cameras\Segmented_images\RC0220Ra\PROCESSED\CHECKED\RC0220Ra_20130303_0952_cnt.png"
