"image_id","datetime_str","model_name","clip_area","ref_area","save_dir"
"RC1459L_20110108_0945","20110108_0945","RuBsAdDlb3Mxtshcn20210211",787.47,1018.73,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110108_0945_cnt.png"
"RC1459L_20110108_1545","20110108_1545","RuBsAdDlb3Mxtshcn20210211",585.28,751.92,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110108_1545_cnt.png"
"RC1459L_20110109_0745","20110109_0745","RuBsAdDlb3Mxtshcn20210211",735.79,969.63,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110109_0745_cnt.png"
"RC1459L_20110109_0945","20110109_0945","RuBsAdDlb3Mxtshcn20210211",732.56,948.33,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110109_0945_cnt.png"
"RC1459L_20110109_1145","20110109_1145","RuBsAdDlb3Mxtshcn20210211",682.19,838.51,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110109_1145_cnt.png"
"RC1459L_20110109_1345","20110109_1345","RuBsAdDlb3Mxtshcn20210211",594.96,760.34,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110109_1345_cnt.png"
"RC1459L_20110110_0745","20110110_0745","RuBsAdDlb3Mxtshcn20210211",720.29,956.09,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110110_0745_cnt.png"
"RC1459L_20110110_0945","20110110_0945","RuBsAdDlb3Mxtshcn20210211",722.23,923.77,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110110_0945_cnt.png"
"RC1459L_20110110_1345","20110110_1345","RuBsAdDlb3Mxtshcn20210211",526.51,687.37,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110110_1345_cnt.png"
"RC1459L_20110110_1545","20110110_1545","RuBsAdDlb3Mxtshcn20210211",480.63,642.12,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110110_1545_cnt.png"
"RC1459L_20110111_0745","20110111_0745","RuBsAdDlb3Mxtshcn20210211",692.52,907.0,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110111_0745_cnt.png"
"RC1459L_20110111_0945","20110111_0945","RuBsAdDlb3Mxtshcn20210211",575.61,756.48,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110111_0945_cnt.png"
"RC1459L_20110111_1145","20110111_1145","RuBsAdDlb3Mxtshcn20210211",494.2,663.45,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110111_1145_cnt.png"
"RC1459L_20110111_1345","20110111_1345","RuBsAdDlb3Mxtshcn20210211",490.33,662.16,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110111_1345_cnt.png"
"RC1459L_20110111_1545","20110111_1545","RuBsAdDlb3Mxtshcn20210211",472.24,630.49,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110111_1545_cnt.png"
"RC1459L_20110112_0745","20110112_0745","RuBsAdDlb3Mxtshcn20210211",677.65,891.48,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110112_0745_cnt.png"
"RC1459L_20110112_0945","20110112_0945","RuBsAdDlb3Mxtshcn20210211",558.8,752.59,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110112_0945_cnt.png"
"RC1459L_20110112_1345","20110112_1345","RuBsAdDlb3Mxtshcn20210211",469.64,618.87,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110112_1345_cnt.png"
"RC1459L_20110112_1545","20110112_1545","RuBsAdDlb3Mxtshcn20210211",443.81,608.56,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110112_1545_cnt.png"
"RC1459L_20110113_0745","20110113_0745","RuBsAdDlb3Mxtshcn20210211",682.17,890.85,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110113_0745_cnt.png"
"RC1459L_20110113_0945","20110113_0945","RuBsAdDlb3Mxtshcn20210211",543.95,730.64,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110113_0945_cnt.png"
"RC1459L_20110113_1345","20110113_1345","RuBsAdDlb3Mxtshcn20210211",454.77,610.48,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110113_1345_cnt.png"
"RC1459L_20110114_0745","20110114_0745","RuBsAdDlb3Mxtshcn20210211",686.05,897.31,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110114_0745_cnt.png"
"RC1459L_20110114_1345","20110114_1345","RuBsAdDlb3Mxtshcn20210211",468.35,618.23,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110114_1345_cnt.png"
"RC1459L_20110114_1545","20110114_1545","RuBsAdDlb3Mxtshcn20210211",456.73,629.2,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110114_1545_cnt.png"
"RC1459L_20110115_0745","20110115_0745","RuBsAdDlb3Mxtshcn20210211",691.23,907.01,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110115_0745_cnt.png"
"RC1459L_20110115_0945","20110115_0945","RuBsAdDlb3Mxtshcn20210211",543.95,733.89,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110115_0945_cnt.png"
"RC1459L_20110115_1145","20110115_1145","RuBsAdDlb3Mxtshcn20210211",448.32,568.47,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110115_1145_cnt.png"
"RC1459L_20110115_1345","20110115_1345","RuBsAdDlb3Mxtshcn20210211",465.77,621.45,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110115_1345_cnt.png"
"RC1459L_20110115_1545","20110115_1545","RuBsAdDlb3Mxtshcn20210211",437.37,605.3,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110115_1545_cnt.png"
"RC1459L_20110116_0745","20110116_0745","RuBsAdDlb3Mxtshcn20210211",722.22,951.53,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110116_0745_cnt.png"
"RC1459L_20110116_0945","20110116_0945","RuBsAdDlb3Mxtshcn20210211",686.71,866.91,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110116_0945_cnt.png"
"RC1459L_20110116_1345","20110116_1345","RuBsAdDlb3Mxtshcn20210211",524.53,686.67,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110116_1345_cnt.png"
"RC1459L_20110116_1545","20110116_1545","RuBsAdDlb3Mxtshcn20210211",512.29,692.5,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110116_1545_cnt.png"
"RC1459L_20110117_0745","20110117_0745","RuBsAdDlb3Mxtshcn20210211",720.93,945.09,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110117_0745_cnt.png"
"RC1459L_20110117_0945","20110117_0945","RuBsAdDlb3Mxtshcn20210211",719.65,934.11,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110117_0945_cnt.png"
"RC1459L_20110117_1345","20110117_1345","RuBsAdDlb3Mxtshcn20210211",540.05,713.16,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110117_1345_cnt.png"
"RC1459L_20110117_1545","20110117_1545","RuBsAdDlb3Mxtshcn20210211",499.36,672.46,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110117_1545_cnt.png"
"RC1459L_20110118_0745","20110118_0745","RuBsAdDlb3Mxtshcn20210211",699.62,918.62,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110118_0745_cnt.png"
"RC1459L_20110118_0945","20110118_0945","RuBsAdDlb3Mxtshcn20210211",572.35,768.72,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110118_0945_cnt.png"
"RC1459L_20110118_1145","20110118_1145","RuBsAdDlb3Mxtshcn20210211",422.47,426.99,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110118_1145_cnt.png"
"RC1459L_20110118_1345","20110118_1345","RuBsAdDlb3Mxtshcn20210211",478.03,638.89,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110118_1345_cnt.png"
"RC1459L_20110118_1545","20110118_1545","RuBsAdDlb3Mxtshcn20210211",450.91,620.79,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110118_1545_cnt.png"
"RC1459L_20110119_0745","20110119_0745","RuBsAdDlb3Mxtshcn20210211",706.73,918.63,"M:\Remote Cameras\Segmented_images\RC1459L\PROCESSED\CHECKED\RC1459L_20110119_0745_cnt.png"
